id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
1368,CDS,cde_fo,USDINR,2557,OPTCUR,PE,78.5,USDINR16DECEMBER2278.5PE,USDINR22D78.5PE,USDINR 16DEC22 78.5 PE,16-12-2022,1,0.0025
1369,CDS,cde_fo,USDINR,2558,OPTCUR,CE,78.75,USDINR16DECEMBER2278.75CE,USDINR22D78.75CE,USDINR 16DEC22 78.75 CE,16-12-2022,1,0.0025
1370,CDS,cde_fo,EURUSD,2559,OPTCUR,CE,1.04,EURUSD28JUNE231.04CE,EURUSD23JUN1.04CE,EURUSD 28JUN23 1.04 CE,28-06-2023,1,0.0001
1371,CDS,cde_fo,EURUSD,2560,OPTCUR,PE,1.04,EURUSD28JUNE231.04PE,EURUSD23JUN1.04PE,EURUSD 28JUN23 1.04 PE,28-06-2023,1,0.0001
1372,CDS,cde_fo,USDINR,2561,OPTCUR,PE,78.75,USDINR16DECEMBER2278.75PE,USDINR22D78.75PE,USDINR 16DEC22 78.75 PE,16-12-2022,1,0.0025
1373,CDS,cde_fo,USDINR,2562,OPTCUR,CE,79,USDINR16DECEMBER2279CE,USDINR22D79CE,USDINR 16DEC22 79 CE,16-12-2022,1,0.0025
1374,CDS,cde_fo,USDINR,2563,OPTCUR,PE,79,USDINR16DECEMBER2279PE,USDINR22D79PE,USDINR 16DEC22 79 PE,16-12-2022,1,0.0025
1375,CDS,cde_fo,USDINR,2564,OPTCUR,CE,79.25,USDINR16DECEMBER2279.25CE,USDINR22D79.25CE,USDINR 16DEC22 79.25 CE,16-12-2022,1,0.0025
1376,CDS,cde_fo,EURUSD,2565,OPTCUR,CE,0.93,EURUSD27OCTOBER220.93CE,EURUSD22OCT0.93CE,EURUSD 27OCT22 0.93 CE,27-10-2022,1,0.0001
1377,CDS,cde_fo,EURUSD,2566,OPTCUR,PE,0.93,EURUSD27OCTOBER220.93PE,EURUSD22OCT0.93PE,EURUSD 27OCT22 0.93 PE,27-10-2022,1,0.0001
1378,CDS,cde_fo,EURUSD,2569,OPTCUR,CE,1.045,EURUSD28JUNE231.045CE,EURUSD23JUN1.045CE,EURUSD 28JUN23 1.045 CE,28-06-2023,1,0.0001
1379,CDS,cde_fo,EURUSD,2570,OPTCUR,PE,1.045,EURUSD28JUNE231.045PE,EURUSD23JUN1.045PE,EURUSD 28JUN23 1.045 PE,28-06-2023,1,0.0001
1380,CDS,cde_fo,EURUSD,2571,OPTCUR,CE,1.05,EURUSD28JUNE231.05CE,EURUSD23JUN1.05CE,EURUSD 28JUN23 1.05 CE,28-06-2023,1,0.0001
1381,CDS,cde_fo,EURINR,2572,OPTCUR,PE,83.75,EURINR28DECEMBER2283.75PE,EURINR22DEC83.75PE,EURINR 28DEC22 83.75 PE,28-12-2022,1,0.0025
1382,CDS,cde_fo,GBPINR,2574,OPTCUR,CE,85.75,GBPINR11NOVEMBER2285.75CE,GBPINR22N85.75CE,GBPINR 11NOV22 85.75 CE,11-11-2022,1,0.0025
1383,CDS,cde_fo,USDINR,2575,OPTCUR,PE,79.25,USDINR16DECEMBER2279.25PE,USDINR22D79.25PE,USDINR 16DEC22 79.25 PE,16-12-2022,1,0.0025
1384,CDS,cde_fo,USDINR,2576,OPTCUR,CE,79.5,USDINR16DECEMBER2279.5CE,USDINR22D79.5CE,USDINR 16DEC22 79.5 CE,16-12-2022,1,0.0025
1385,CDS,cde_fo,EURUSD,2577,OPTCUR,PE,1.05,EURUSD28JUNE231.05PE,EURUSD23JUN1.05PE,EURUSD 28JUN23 1.05 PE,28-06-2023,1,0.0001
1386,CDS,cde_fo,EURUSD,2578,OPTCUR,CE,1.055,EURUSD28JUNE231.055CE,EURUSD23JUN1.055CE,EURUSD 28JUN23 1.055 CE,28-06-2023,1,0.0001
1387,CDS,cde_fo,EURINR,2579,OPTCUR,CE,84,EURINR28DECEMBER2284CE,EURINR22DEC84CE,EURINR 28DEC22 84 CE,28-12-2022,1,0.0025
1388,CDS,cde_fo,USDINR,2581,OPTCUR,PE,79.5,USDINR16DECEMBER2279.5PE,USDINR22D79.5PE,USDINR 16DEC22 79.5 PE,16-12-2022,1,0.0025
1389,CDS,cde_fo,USDINR,2582,OPTCUR,CE,79.75,USDINR16DECEMBER2279.75CE,USDINR22D79.75CE,USDINR 16DEC22 79.75 CE,16-12-2022,1,0.0025
1390,CDS,cde_fo,EURINR,2584,OPTCUR,PE,78.75,EURINR21OCTOBER2278.75PE,EURINR22O78.75PE,EURINR 21OCT22 78.75 PE,21-10-2022,1,0.0025
